Time (fs=25),thermal_camera,chest_belt
0,-0.3358,-0.28524
0.04,-0.35895,-0.24916
0.08,-0.38224,-0.21228
0.12,-0.40559,-0.1739
0.16,-0.42889,-0.13542
0.2,-0.45206,-0.09572
0.24,-0.47501,-0.055781
0.28,-0.49764,-0.01564
0.32,-0.51987,0.025326
0.36,-0.54161,0.065679
0.4,-0.56278,0.10654
0.44,-0.58329,0.14684
0.48,-0.60307,0.18658
0.52,-0.62204,0.22629
0.56,-0.64013,0.26462
0.6,-0.65728,0.30257
0.64,-0.67341,0.33913
0.68,-0.68847,0.37432
0.72,-0.7024,0.40855
0.76,-0.71515,0.44067
0.8,-0.72666,0.47152
0.84,-0.7369,0.5002
0.88,-0.74582,0.52681
0.92,-0.75338,0.55158
0.96,-0.75956,0.5737
1,-0.76431,0.59379
1.04,-0.76762,0.61112
1.08,-0.76946,0.62591
1.12,-0.7698,0.63821
1.16,-0.76864,0.6476
1.2,-0.76597,0.65449
1.24,-0.76175,0.65833
1.28,-0.756,0.65952
1.32,-0.74871,0.65788
1.36,-0.73987,0.65344
1.4,-0.72948,0.64642
1.44,-0.71755,0.63639
1.48,-0.70408,0.62402
1.52,-0.68907,0.60886
1.56,-0.67255,0.59139
1.6,-0.65452,0.57163
1.64,-0.63499,0.54929
1.68,-0.61399,0.52524
1.72,-0.59154,0.49881
1.76,-0.56765,0.47084
1.8,-0.54237,0.44122
1.84,-0.51572,0.40969
1.88,-0.48773,0.37732
1.92,-0.45845,0.34324
1.96,-0.42793,0.30855
2,-0.39621,0.27301
2.04,-0.36335,0.23638
2.08,-0.32941,0.19985
2.12,-0.29446,0.16237
2.16,-0.25858,0.12521
2.2,-0.22184,0.087995
2.24,-0.18433,0.050509
2.28,-0.14614,0.01395
2.32,-0.10738,-0.022835
2.36,-0.068152,-0.058534
2.4,-0.02857,-0.093625
2.44,0.011244,-0.1283
2.48,0.051165,-0.16148
2.52,0.09106,-0.19431
2.56,0.13079,-0.22555
2.6,0.17021,-0.25577
2.64,0.20917,-0.28509
2.68,0.24753,-0.31265
2.72,0.28511,-0.33951
2.76,0.32177,-0.36458
2.8,0.35735,-0.3885
2.84,0.39168,-0.41125
2.88,0.4246,-0.43229
2.92,0.45596,-0.4525
2.96,0.48559,-0.47097
3,0.51334,-0.4884
3.04,0.53907,-0.5046
3.08,0.56263,-0.51936
3.12,0.58388,-0.53334
3.16,0.6027,-0.54583
3.2,0.61897,-0.55753
3.24,0.63258,-0.56807
3.28,0.64344,-0.57757
3.32,0.65148,-0.58642
3.36,0.65661,-0.5941
3.4,0.65879,-0.6013
3.44,0.65798,-0.60744
3.48,0.65416,-0.61296
3.52,0.64732,-0.61793
3.56,0.63747,-0.62205
3.6,0.62466,-0.62592
3.64,0.60891,-0.62882
3.68,0.59031,-0.63141
3.72,0.56892,-0.63348
3.76,0.54485,-0.63491
3.8,0.51821,-0.63617
3.84,0.48912,-0.6365
3.88,0.45774,-0.63663
3.92,0.42422,-0.63616
3.96,0.38873,-0.63514
4,0.35144,-0.63384
4.04,0.31254,-0.63156
4.08,0.27224,-0.62903
4.12,0.23073,-0.6257
4.16,0.18823,-0.62177
4.2,0.14493,-0.61731
4.24,0.10105,-0.61175
4.28,0.056811,-0.60575
